uid,u_cat_01,u_cat_02,u_cat_03,u_cat_04,u_cat_05,u_cat_06,u_cat_07,u_cat_08
u002161,23,1,5,1,2,2,2,1
u002162,16,2,5,30,2,2,4,1
u002163,23,2,5,1,2,2,2,2
u002164,66,1,5,23,1,2,1,2
u002165,48,2,3,4,4,3,0,1
u002166,22,2,5,1,2,3,1,2
u002167,16,1,3,12,4,2,0,1
u002168,48,1,1,0,0,3,0,1
u002169,16,2,5,4,4,2,4,1
u002170,53,1,6,16,6,3,0,2
u002171,47,1,3,29,4,2,2,1
u002172,42,2,5,1,2,2,2,2
u002173,23,2,5,9,2,2,2,2
u002174,16,1,5,29,6,2,2,1
u002175,23,1,3,26,2,2,4,1
u002176,52,2,1,16,6,3,0,2
u002177,23,2,5,0,0,3,2,2
u002178,64,2,2,0,0,3,0,1
u002179,41,2,5,16,6,3,0,2
u002180,22,1,5,0,0,3,0,2
u002181,13,2,2,30,2,3,0,2
u002182,66,1,3,19,4,2,1,1
u002183,66,1,5,12,2,2,4,1
u002184,49,2,3,22,1,2,4,1
u002185,38,1,5,0,0,3,4,2
u002186,16,2,5,12,1,2,4,2
u002187,17,1,2,31,1,3,4,2
u002188,66,1,3,16,3,2,4,2
u002189,59,2,5,13,3,1,4,1
u002190,16,2,5,23,6,2,4,1
u002191,49,2,5,1,1,2,2,2
u002192,66,2,5,20,4,2,1,2
u002193,23,1,5,31,1,2,2,1
u002194,23,2,5,9,2,1,1,1
u002195,56,2,5,31,2,3,0,2
u002196,47,2,5,9,2,2,4,2
u002197,16,1,5,11,1,2,2,1
u002198,59,1,2,9,1,3,0,1
u002199,16,2,5,7,1,2,4,2
u002200,27,2,5,19,6,3,0,2
u002201,47,1,5,1,4,2,2,1
u002202,66,1,3,9,2,2,4,1
u002203,16,1,5,0,0,2,4,1
u002204,66,2,5,30,6,2,4,1
u002205,21,2,5,13,1,3,2,1
u002206,26,1,2,0,0,3,0,2
u002207,23,2,5,9,1,3,1,2
u002208,49,2,5,0,0,2,2,2
u002209,13,1,2,7,6,3,4,1
u002210,27,1,1,12,1,3,0,1
u002211,48,1,5,19,6,2,0,2
u002212,47,1,3,14,4,2,2,2
u002213,23,1,3,4,1,2,2,2
u002214,27,1,5,1,1,3,0,1
u002215,42,1,3,9,2,2,1,2
u002216,22,2,5,21,1,3,0,2
u002217,66,2,5,0,0,2,2,1
u002218,66,1,3,1,1,2,1,1
u002219,66,1,5,14,4,2,2,1
u002220,14,2,5,15,5,3,2,1
u002221,13,2,1,4,6,3,0,2
u002222,48,2,5,23,1,3,0,2
u002223,66,2,5,1,1,2,4,2
u002224,6,2,2,9,1,3,4,2
u002225,21,2,5,0,0,3,0,1
u002226,42,2,5,9,6,2,1,2
u002227,16,1,3,26,3,2,2,1
u002228,46,2,5,19,2,2,0,2
u002229,42,2,5,21,2,2,1,2
u002230,1,2,2,22,2,3,2,2
u002231,1,1,3,0,0,3,1,2
u002232,35,1,2,28,6,3,2,1
u002233,20,2,4,0,0,3,0,1
u002234,23,2,5,11,2,2,1,2
u002235,7,1,5,0,0,3,1,1
u002236,27,2,5,30,6,3,0,1
u002237,53,2,1,9,1,3,0,2
u002238,42,2,5,26,2,2,1,2
u002239,66,2,5,7,1,2,4,2
u002240,23,2,5,12,4,2,1,1
u002241,35,2,5,0,0,3,0,1
u002242,66,2,3,22,2,2,1,1
u002243,3,2,2,13,3,3,0,1
u002244,49,1,3,23,1,1,2,2
u002245,16,2,5,12,1,2,2,2
u002246,49,2,5,12,4,2,2,2
u002247,63,2,2,26,1,3,1,2
u002248,47,2,5,31,6,2,2,1
u002249,23,2,3,0,0,2,4,2
u002250,64,2,5,0,0,3,0,1
u002251,6,2,5,29,4,3,0,2
u002252,47,1,3,11,1,2,1,2
u002253,23,1,5,0,0,2,1,2
u002254,35,2,2,28,3,3,0,1
u002255,58,2,3,21,6,3,0,1
u002256,8,1,5,0,0,3,1,1
u002257,23,2,5,22,2,2,1,1
u002258,21,2,5,0,0,3,0,1
u002259,44,2,5,31,2,2,4,2
u002260,42,2,5,9,1,2,4,1
u002261,47,2,5,0,0,2,0,1
u002262,23,1,5,1,4,2,1,1
u002263,16,2,5,5,3,2,2,2
u002264,46,2,2,29,1,3,1,2
u002265,3,2,5,10,5,3,0,2
u002266,63,2,6,0,0,3,1,2
u002267,27,2,4,12,2,3,0,1
u002268,23,2,5,22,2,2,2,2
u002269,66,2,5,0,0,2,2,1
u002270,66,1,3,4,6,2,4,1
u002271,42,2,5,1,2,2,2,1
u002272,59,1,6,12,1,1,0,1
u002273,42,1,5,31,6,2,4,1
u002274,23,1,5,30,1,2,1,1
u002275,42,1,5,9,1,2,1,2
u002276,48,2,3,26,3,3,2,1
u002277,23,2,5,9,1,2,1,1
u002278,48,1,2,23,4,3,4,2
u002279,46,1,3,1,4,3,1,1
u002280,66,2,5,19,1,2,2,1
u002281,66,2,5,4,4,2,2,2
u002282,50,2,2,0,0,3,1,2
u002283,16,2,5,21,6,2,4,1
u002284,46,2,5,12,1,3,4,1
u002285,66,2,5,22,1,2,4,2
u002286,11,2,3,0,0,3,0,2
u002287,11,1,1,16,3,3,0,1
u002288,21,2,5,9,2,3,0,1
u002289,49,2,5,13,1,2,1,1
u002290,47,2,5,16,6,2,0,2
u002291,54,2,5,0,0,3,0,2
u002292,23,2,3,22,3,2,4,1
u002293,16,2,5,11,6,3,1,2
u002294,31,1,3,2,0,1,2,2
u002295,49,2,5,12,2,2,4,1
u002296,17,1,4,0,0,3,0,1
u002297,16,1,4,9,3,2,2,2
u002298,59,2,5,0,0,3,4,2
u002299,23,2,5,12,4,3,1,1
u002300,16,2,5,0,0,2,2,2
u002301,16,1,5,4,4,2,4,2
u002302,66,1,3,27,1,2,1,2
u002303,47,1,3,14,4,1,2,1
u002304,66,1,5,30,6,2,4,1
u002305,16,2,5,4,6,2,2,1
u002306,25,1,5,1,1,3,1,1
u002307,33,1,3,21,6,3,1,1
u002308,16,1,2,12,1,2,1,2
u002309,64,2,6,28,3,3,4,1
u002310,22,2,5,0,0,3,0,1
u002311,49,2,5,5,1,2,2,2
u002312,44,2,5,1,2,3,1,2
u002313,23,2,5,31,5,2,4,2
u002314,64,2,5,0,0,1,0,1
u002315,47,2,5,0,0,2,2,1
u002316,34,2,5,7,1,3,0,2
u002317,35,2,5,28,6,3,0,1
u002318,16,1,3,29,6,2,4,2
u002319,66,1,5,2,0,2,1,2
u002320,54,1,4,26,3,3,2,1
u002321,13,1,1,0,0,3,4,1
u002322,23,1,3,9,3,2,4,1
u002323,17,2,2,0,0,3,1,2
u002324,52,2,3,25,3,3,0,1
u002325,23,2,5,5,2,2,2,2
u002326,23,2,3,16,6,2,4,1
u002327,13,1,1,28,6,3,1,2
u002328,44,1,5,1,2,2,2,1
u002329,66,2,5,4,6,2,1,2
u002330,29,1,5,5,1,3,0,1
u002331,47,2,5,7,1,2,4,2
u002332,27,2,1,10,5,3,3,2
u002333,23,2,5,0,0,2,1,2
u002334,17,2,3,4,4,3,0,1
u002335,1,2,5,29,4,3,0,2
u002336,13,2,5,26,2,3,0,1
u002337,52,2,5,20,1,1,0,2
u002338,66,1,5,1,2,2,1,2
u002339,18,1,4,21,6,3,0,2
u002340,16,2,3,29,2,2,1,1
u002341,22,2,5,1,2,3,0,1
u002342,56,2,5,9,1,3,0,1
u002343,17,2,3,13,3,3,0,2
u002344,32,2,3,0,0,3,0,1
u002345,53,1,4,21,2,3,0,1
u002346,46,2,5,27,4,3,2,1
u002347,47,2,5,0,0,2,2,2
u002348,23,2,5,24,4,3,1,2
u002349,46,2,5,12,4,3,0,1
u002350,6,2,2,3,4,1,4,2
u002351,23,1,5,27,1,2,4,2
u002352,52,1,5,31,2,1,1,1
u002353,66,2,5,29,4,2,4,1
u002354,52,2,1,28,3,3,2,2
u002355,49,1,5,12,1,2,2,2
u002356,16,2,5,22,2,2,4,2
u002357,6,1,2,9,2,1,1,2
u002358,23,2,5,12,1,3,1,2
u002359,54,2,5,5,3,3,0,1
u002360,47,2,5,22,1,2,2,1
u002361,47,1,5,22,2,2,2,1
u002362,23,1,3,13,1,2,2,2
u002363,64,1,5,31,1,3,0,1
u002364,42,2,5,31,5,2,4,2
u002365,54,1,3,22,3,3,4,2
u002366,23,1,5,1,1,2,4,1
u002367,66,2,5,5,2,2,1,2
u002368,1,2,5,0,0,3,0,1
u002369,49,2,5,27,4,2,2,2
u002370,49,2,3,22,3,2,2,1
u002371,47,1,3,22,2,2,0,2
u002372,44,2,5,30,6,2,4,1
u002373,66,2,5,31,5,2,1,2
u002374,20,2,5,30,6,3,0,1
u002375,56,1,2,0,0,2,1,2
u002376,59,2,6,9,2,3,3,2
u002377,49,2,5,22,2,2,2,1
u002378,44,2,5,27,4,2,0,1
u002379,21,2,5,0,0,1,0,2
u002380,49,2,5,16,2,2,2,2
u002381,49,1,5,26,1,2,2,2
u002382,49,2,5,0,0,2,2,1
u002383,47,1,5,1,2,2,2,2
u002384,47,2,5,1,2,2,2,1
u002385,49,2,5,31,1,2,2,2
u002386,47,2,3,28,3,2,4,2
u002387,17,1,1,0,0,3,4,1
u002388,47,1,5,1,2,2,4,1
u002389,47,2,5,0,0,2,2,2
u002390,47,2,3,16,6,2,2,2
u002391,1,2,3,0,0,2,3,1
u002392,34,1,5,30,6,3,0,2
u002393,35,2,2,28,3,3,0,1
u002394,49,1,3,1,2,2,4,1
u002395,49,2,5,31,1,2,4,2
u002396,44,1,5,1,2,2,2,2
u002397,47,1,5,9,2,2,4,1
u002398,48,2,2,12,4,3,0,1
u002399,66,2,5,2,0,2,1,1
u002400,49,2,3,5,1,2,4,1
u002401,49,2,5,11,2,2,2,1
u002402,66,1,5,19,6,2,4,1
u002403,53,2,2,0,0,3,0,2
u002404,44,2,5,0,0,2,4,1
u002405,47,1,5,20,1,2,2,2
u002406,49,2,5,13,4,2,0,1
u002407,29,2,5,2,3,3,0,2
u002408,23,2,5,0,0,2,2,1
u002409,41,2,1,15,5,3,0,1
u002410,23,1,3,5,1,2,2,1
u002411,44,1,2,30,2,2,3,2
u002412,49,2,5,5,4,2,2,2
u002413,16,2,5,31,3,2,2,1
u002414,47,2,5,23,1,2,4,2
u002415,49,2,5,16,2,2,2,2
u002416,54,2,2,1,2,3,0,1
u002417,31,2,4,1,2,3,0,1
u002418,56,2,5,1,2,3,0,2
u002419,16,2,5,19,6,2,4,1
u002420,29,2,4,15,5,3,2,1
u002421,16,1,5,2,0,2,4,1
u002422,49,2,5,22,2,2,2,1
u002423,44,2,3,27,6,2,2,2
u002424,47,2,3,0,0,2,0,1
u002425,49,1,5,30,2,2,2,1
u002426,66,1,3,28,2,2,2,1
u002427,56,2,5,16,6,3,0,1
u002428,47,2,3,22,2,2,4,1
u002429,4,2,5,0,0,1,0,2
u002430,66,2,5,12,1,2,4,1
u002431,48,1,6,0,0,3,2,2
u002432,25,1,4,0,0,3,0,1
u002433,13,2,5,9,1,3,0,2
u002434,66,2,5,12,2,2,1,2
u002435,3,2,2,1,3,3,0,2
u002436,66,2,5,5,1,2,1,2
u002437,49,1,5,28,6,2,2,1
u002438,42,2,5,20,6,2,1,2
u002439,66,1,5,22,1,2,2,2
u002440,23,1,5,12,2,2,4,1
u002441,17,2,5,4,6,3,0,2
u002442,31,2,5,0,0,1,4,1
u002443,3,2,5,0,0,3,0,1
u002444,66,2,5,9,1,2,0,1
u002445,46,2,3,19,6,3,0,2
u002446,33,2,3,1,1,3,1,1
u002447,16,2,5,9,6,2,2,1
u002448,27,1,3,0,0,3,0,2
u002449,16,1,5,16,3,2,4,1
u002450,16,1,3,16,6,2,1,1
u002451,49,2,5,12,1,2,2,2
u002452,58,2,6,0,0,3,0,2
u002453,16,2,5,12,4,2,4,2
u002454,35,2,6,15,5,3,0,2
u002455,23,2,5,22,2,2,2,1
u002456,16,2,5,22,2,2,2,2
u002457,47,1,5,5,3,2,2,2
u002458,49,1,3,0,0,2,2,1
u002459,66,1,3,30,1,2,4,1
u002460,49,2,3,1,2,2,2,1
u002461,49,2,5,0,0,3,1,2
u002462,16,1,5,0,0,2,2,1
u002463,23,1,3,5,1,2,4,1
u002464,23,2,5,12,4,2,4,1
u002465,3,1,6,31,5,3,2,2
u002466,6,2,5,9,2,3,0,1
u002467,47,1,3,1,4,2,2,1
u002468,47,2,5,14,4,2,2,2
u002469,16,2,5,11,2,2,4,2
u002470,18,1,5,9,1,3,1,2
u002471,42,2,5,23,6,2,2,2
u002472,16,2,5,7,4,2,1,2
u002473,47,1,3,26,2,2,2,2
u002474,42,2,5,9,2,2,4,1
u002475,23,2,5,0,0,2,1,2
u002476,6,2,1,16,6,3,0,1
u002477,66,2,5,17,4,2,4,2
u002478,47,2,5,0,0,2,4,1
u002479,47,2,5,24,4,2,2,1
u002480,13,1,5,0,0,3,0,1
u002481,64,1,5,1,1,3,4,1
u002482,16,2,5,26,1,2,4,1
u002483,16,1,5,1,2,3,1,2
u002484,48,1,2,1,2,1,0,1
u002485,47,2,5,27,4,2,2,1
u002486,16,2,5,11,2,2,4,1
u002487,64,2,1,15,5,3,2,1
u002488,49,2,5,31,2,3,1,1
u002489,47,2,5,28,3,2,2,1
u002490,47,1,5,5,1,2,2,2
u002491,47,2,3,22,2,2,2,2
u002492,47,2,5,12,2,2,3,2
u002493,49,2,5,12,1,2,0,1
u002494,66,1,5,1,2,2,1,1
u002495,48,2,5,1,2,3,0,1
u002496,44,2,5,31,2,2,4,2
u002497,47,1,2,9,6,2,4,2
u002498,6,2,4,10,5,3,2,2
u002499,66,1,5,1,1,2,2,1
u002500,16,2,5,12,2,2,4,1
u002501,16,1,5,26,1,2,2,2
u002502,16,2,5,1,3,2,4,2
u002503,23,2,5,12,4,2,4,1
u002504,44,2,5,22,2,2,4,2
u002505,66,1,3,21,1,2,2,1
u002506,16,2,5,1,2,2,1,1
u002507,66,1,5,24,4,2,4,1
u002508,66,1,3,31,6,2,2,2
u002509,13,1,4,30,2,3,2,1
u002510,47,2,5,9,1,2,2,2
u002511,16,2,5,0,0,2,4,2
u002512,16,1,3,1,2,2,4,2
u002513,16,1,3,24,4,2,1,2
u002514,66,2,5,11,2,2,4,2
u002515,16,1,3,26,1,2,2,2
u002516,23,2,5,0,0,2,4,1
u002517,6,2,5,19,6,3,0,1
u002518,16,1,5,31,2,2,4,1
u002519,22,2,5,31,1,3,0,2
u002520,59,1,1,21,2,3,2,2
u002521,23,2,5,0,0,2,2,2
u002522,16,1,5,5,1,2,2,2
u002523,16,2,5,30,6,2,1,1
u002524,23,1,5,20,4,2,1,1
u002525,66,1,3,9,3,2,1,1
u002526,14,2,3,0,0,3,1,2
u002527,6,2,5,12,3,3,0,2
u002528,16,2,5,11,1,2,1,1
u002529,66,2,5,11,2,2,2,1
u002530,49,2,5,30,1,3,0,1
u002531,6,1,3,9,6,3,0,2
u002532,66,2,5,30,2,2,4,1
u002533,66,1,3,9,2,2,1,2
u002534,16,2,5,22,2,2,2,2
u002535,47,1,3,9,6,2,2,2
u002536,47,2,5,1,2,2,0,2
u002537,47,2,4,22,2,3,2,2
u002538,16,2,5,16,6,2,1,1
u002539,23,1,3,31,2,2,4,1
u002540,11,2,2,26,0,3,0,1
u002541,49,1,3,14,4,2,4,1
u002542,17,1,1,21,6,3,2,2
u002543,22,2,5,16,6,3,0,2
u002544,49,2,5,1,1,2,1,2
u002545,66,2,5,1,1,2,2,1
u002546,16,1,3,31,2,1,1,1
u002547,42,2,5,31,1,2,1,1
u002548,16,2,5,21,2,2,4,1
u002549,23,2,5,20,4,2,2,1
u002550,66,2,5,17,4,2,2,2
u002551,9,2,5,0,0,3,0,2
u002552,1,2,5,4,6,2,4,1
u002553,16,2,5,12,4,2,2,2
u002554,64,1,1,10,5,3,0,2
u002555,16,2,5,12,4,2,2,2
u002556,16,2,5,20,4,2,2,2
u002557,42,2,5,24,4,2,2,1
u002558,23,1,5,12,4,2,1,2
u002559,23,2,5,2,0,2,1,1
u002560,16,1,5,1,2,2,4,1
u002561,66,2,5,12,1,2,2,2
u002562,16,2,5,19,6,2,2,2
u002563,49,2,5,12,4,2,2,2
u002564,23,2,5,9,1,2,1,2
u002565,6,2,1,31,5,3,2,1
u002566,16,1,5,30,6,2,2,1
u002567,27,2,5,0,0,3,0,2
u002568,16,1,5,19,4,2,2,2
u002569,13,1,5,26,2,3,0,2
u002570,16,1,5,2,0,2,1,1
u002571,47,1,3,23,1,2,0,2
u002572,66,2,5,0,0,2,2,1
u002573,66,2,5,16,6,2,2,1
u002574,23,1,3,1,2,2,1,2
u002575,17,2,5,9,2,3,0,1
u002576,59,2,4,5,2,3,0,2
u002577,27,2,5,0,0,3,0,1
u002578,23,1,5,1,2,2,4,1
u002579,16,2,5,20,1,2,4,2
u002580,16,1,5,26,1,2,2,1
u002581,66,1,5,12,4,2,4,2
u002582,23,2,5,20,4,2,4,2
u002583,16,1,3,9,2,2,2,1
u002584,16,2,5,12,4,2,1,1
u002585,6,1,5,31,2,3,1,2
u002586,49,1,3,0,0,3,1,1
u002587,27,2,1,0,0,3,4,2
u002588,1,2,5,1,2,3,0,1
u002589,66,1,5,12,2,2,1,2
u002590,46,2,5,11,4,3,0,2
u002591,47,1,3,2,0,2,4,2
u002592,23,2,5,27,2,2,4,1
u002593,16,1,5,31,1,2,4,1
u002594,23,2,5,18,0,2,2,2
u002595,44,2,5,1,1,2,4,1
u002596,49,2,5,1,1,3,4,1
u002597,42,2,5,0,0,2,1,2
u002598,20,2,3,12,4,3,2,1
u002599,38,2,5,0,0,3,0,1
u002600,16,2,5,9,6,2,2,2
u002601,47,1,3,0,0,2,2,1
u002602,66,1,3,22,2,2,1,2
u002603,66,1,3,6,4,2,2,1
u002604,49,2,5,1,2,2,2,2
u002605,16,1,3,30,2,2,4,1
u002606,66,2,5,26,1,2,2,2
u002607,23,2,5,9,6,2,2,1
u002608,21,1,6,28,6,2,4,1
u002609,13,1,4,2,0,3,0,2
u002610,29,2,4,22,1,3,1,2
u002611,16,1,5,19,6,1,0,2
u002612,16,2,3,22,2,2,4,1
u002613,23,1,2,31,2,3,4,1
u002614,52,1,2,22,2,3,0,1
u002615,23,2,5,28,3,2,2,1
u002616,66,2,5,12,4,2,2,2
u002617,42,2,5,24,1,2,2,2
u002618,23,2,5,9,2,2,4,2
u002619,66,2,5,23,1,2,1,2
u002620,13,2,5,30,1,3,0,2
u002621,47,2,5,30,2,2,2,1
u002622,47,1,5,1,2,2,2,1
u002623,49,1,3,21,2,2,2,1
u002624,23,2,5,12,4,2,4,1
u002625,16,2,5,1,1,2,4,2
u002626,66,1,5,31,2,2,1,2
u002627,16,2,5,9,1,2,4,1
u002628,49,1,3,1,1,2,2,1
u002629,16,2,5,22,2,2,4,1
u002630,16,2,5,0,0,2,2,1
u002631,64,2,1,26,2,3,4,2
u002632,16,2,5,9,2,2,2,2
u002633,66,1,2,21,6,2,5,2
u002634,26,2,3,22,2,3,1,2
u002635,66,1,5,31,1,2,2,2
u002636,49,2,5,7,1,2,2,2
u002637,49,2,5,4,1,2,2,1
u002638,16,2,5,18,0,2,2,2
u002639,16,1,5,28,6,2,2,2
u002640,23,2,5,31,2,2,4,1
u002641,11,1,5,12,4,3,0,2
u002642,3,2,6,11,4,3,2,2
u002643,48,2,1,28,6,3,4,2
u002644,66,2,5,28,6,2,2,1
u002645,59,2,5,19,1,3,0,1
u002646,49,2,3,22,2,2,4,1
u002647,64,1,1,9,3,1,0,1
u002648,23,2,5,5,1,3,1,1
u002649,16,2,5,7,6,2,2,1
u002650,49,2,5,0,0,2,2,2
u002651,6,2,2,12,4,3,4,1
u002652,49,2,5,4,4,2,2,2
u002653,41,2,1,25,3,3,0,1
u002654,22,2,2,5,1,3,3,1
u002655,23,2,5,0,0,2,2,2
u002656,54,2,5,22,2,3,0,2
u002657,16,2,5,1,2,2,2,2
u002658,42,1,5,12,2,2,2,1
u002659,16,2,5,5,1,2,1,2
u002660,49,2,5,2,0,2,1,2
u002661,66,2,5,1,1,2,2,2
u002662,49,1,5,22,1,2,0,2
u002663,16,1,3,17,6,2,2,2
u002664,16,2,5,12,3,2,4,2
u002665,6,2,4,16,6,3,0,2
u002666,66,1,3,9,1,2,2,2
u002667,16,2,5,12,4,2,0,2
u002668,47,1,3,22,2,2,4,1
u002669,16,1,5,0,0,2,4,1
u002670,66,1,5,27,4,2,2,1
u002671,66,2,5,16,2,2,1,2
u002672,66,1,5,11,2,2,1,2
u002673,66,1,5,13,1,2,2,2
u002674,16,1,5,0,0,2,2,1
u002675,16,1,5,13,2,2,2,1
u002676,13,2,1,0,0,3,0,2
u002677,42,2,5,12,2,2,1,2
u002678,16,2,5,28,6,2,4,1
u002679,47,2,5,4,6,2,4,2
u002680,16,1,3,13,3,2,2,1
u002681,23,2,5,0,0,3,1,1
u002682,16,2,5,16,6,2,2,1
u002683,42,1,5,31,1,2,0,2
u002684,16,1,5,22,2,2,0,2
u002685,42,1,5,13,1,2,2,2
u002686,66,1,3,5,1,2,2,2
u002687,27,1,4,31,2,3,4,2
u002688,66,1,5,9,1,1,0,1
u002689,42,2,5,26,2,2,4,1
u002690,42,2,5,23,4,2,2,2
u002691,66,2,5,12,4,2,2,2
u002692,59,2,4,4,4,3,0,1
u002693,66,1,5,30,6,2,0,1
u002694,42,1,5,22,1,2,2,1
u002695,66,1,3,1,2,2,4,2
u002696,66,1,5,22,2,2,2,1
u002697,66,1,5,21,6,2,2,2
u002698,64,2,6,29,6,3,0,1
u002699,66,2,5,29,4,2,2,1
u002700,16,1,3,16,2,2,4,2
u002701,1,1,3,26,1,2,0,1
u002702,42,1,5,1,2,2,2,2
u002703,48,2,5,29,6,1,1,1
u002704,42,2,5,2,3,2,2,1
u002705,42,2,5,26,1,2,2,1
u002706,42,2,5,4,1,2,2,2
u002707,42,2,5,9,6,2,2,1
u002708,66,1,5,31,1,2,0,1
u002709,52,1,4,31,2,3,4,1
u002710,66,2,5,22,1,2,2,1
u002711,42,1,5,29,4,2,2,1
u002712,66,1,5,0,0,1,0,1
u002713,66,2,5,16,3,2,2,2
u002714,29,1,5,0,0,2,4,2
u002715,66,2,5,11,2,2,2,1
u002716,66,1,5,17,4,2,0,1
u002717,66,2,5,1,1,2,0,1
u002718,42,2,5,1,2,2,2,1
u002719,66,2,5,23,1,2,2,1
u002720,64,1,3,12,2,3,2,1
u002721,66,1,5,9,1,2,2,2
u002722,66,1,5,1,2,2,2,1
u002723,66,1,5,5,1,2,0,1
u002724,29,2,5,31,2,3,0,1
u002725,66,1,5,29,2,2,2,1
u002726,42,2,5,5,2,2,0,2
u002727,66,1,5,7,4,2,2,1
u002728,66,2,5,1,1,2,2,2
u002729,66,1,5,30,6,2,2,2
u002730,38,1,2,21,6,2,4,1
u002731,52,1,1,2,3,3,0,2
u002732,49,2,5,0,0,2,4,1
u002733,66,1,5,23,1,2,2,1
u002734,66,2,5,2,0,2,0,1
u002735,42,2,5,11,2,2,2,2
u002736,16,2,5,20,4,2,0,1
u002737,66,1,5,16,2,2,2,1
u002738,66,1,3,2,0,2,2,2
u002739,16,2,5,9,2,2,2,1
u002740,66,2,5,31,1,2,0,1
u002741,59,2,5,0,0,2,0,1
u002742,9,1,2,16,6,3,4,2
u002743,66,2,5,12,4,2,2,1
u002744,66,2,5,4,1,2,2,2
u002745,42,1,5,5,3,2,2,2
u002746,66,1,5,4,4,2,2,2
u002747,42,2,5,30,2,2,2,1
u002748,42,2,5,4,6,2,2,1
u002749,66,1,3,23,4,2,1,2
u002750,66,2,5,9,1,2,4,2
u002751,9,1,5,0,0,3,0,2
u002752,66,1,5,4,1,2,4,2
u002753,3,2,1,29,4,3,0,1
u002754,42,1,5,26,2,2,4,2
u002755,66,2,5,31,2,2,2,2
u002756,29,1,4,31,1,3,4,2
u002757,42,1,3,11,6,2,2,2
u002758,42,1,3,16,2,2,4,2
u002759,66,1,5,19,1,2,2,1
u002760,42,2,5,11,1,2,2,1
u002761,42,2,5,20,4,2,0,2
u002762,66,1,5,9,1,2,2,1
u002763,40,2,6,21,6,3,0,2
u002764,54,1,1,15,5,3,0,1
u002765,57,2,1,0,0,3,1,2
u002766,66,1,5,16,6,2,2,2
u002767,48,2,3,9,2,1,0,1
u002768,49,1,3,1,1,2,4,2
u002769,66,2,5,12,1,2,4,2
u002770,66,1,5,5,1,2,1,2
u002771,42,1,5,19,6,1,0,1
u002772,66,2,5,24,4,2,4,1
u002773,66,1,3,22,2,2,4,1
u002774,42,2,5,22,2,2,4,1
u002775,59,2,5,9,1,1,0,1
u002776,36,2,2,12,4,3,1,1
u002777,54,1,5,29,2,1,0,1
u002778,66,2,5,0,0,2,4,1
u002779,66,1,3,23,1,2,4,1
u002780,66,2,5,28,6,2,0,1
u002781,16,2,5,12,3,2,2,1
u002782,56,1,4,12,2,3,1,2
u002783,16,2,5,14,4,2,2,1
u002784,42,1,5,12,4,2,0,1
u002785,66,2,3,5,2,2,2,2
u002786,42,2,5,9,1,2,0,1
u002787,3,2,2,26,2,3,4,1
u002788,66,2,5,26,1,2,2,1
u002789,66,2,5,12,4,2,4,1
u002790,42,1,5,2,0,2,0,2
u002791,66,2,5,22,2,2,0,1
u002792,18,1,4,4,1,2,0,1
u002793,66,2,5,9,1,2,0,1
u002794,20,2,5,0,0,1,0,1
u002795,14,2,5,23,1,3,1,1
u002796,16,2,5,12,1,2,2,1
u002797,66,2,5,27,1,2,4,2
u002798,13,2,1,2,0,3,0,1
u002799,66,2,5,7,1,2,2,2
u002800,66,2,5,20,1,2,2,2
u002801,66,1,3,30,2,2,2,1
u002802,38,1,4,21,2,1,1,2
u002803,42,1,5,16,2,2,0,2
u002804,42,1,3,1,1,2,4,1
u002805,42,2,5,0,0,2,2,2
u002806,42,2,5,11,2,2,0,2
u002807,66,1,5,20,4,2,2,1
u002808,42,2,5,19,1,2,2,1
u002809,13,2,1,20,6,3,0,2
u002810,42,1,5,14,4,2,2,1
u002811,66,2,5,9,6,1,0,2
u002812,47,2,5,31,2,2,0,2
u002813,42,1,5,1,1,2,0,1
u002814,21,2,5,19,6,2,0,2
u002815,42,1,3,0,0,2,0,1
u002816,46,1,3,31,6,2,1,2
u002817,42,1,5,4,4,2,4,1
u002818,42,2,5,9,1,1,0,2
u002819,38,2,1,7,6,2,1,2
u002820,35,2,1,12,3,3,0,1
u002821,44,1,3,20,4,2,1,1
u002822,66,1,2,7,1,2,2,2
u002823,56,2,5,0,0,3,1,1
u002824,11,2,2,0,0,3,0,1
u002825,23,1,3,28,6,2,0,2
u002826,66,2,5,1,2,2,2,2
u002827,66,2,5,31,2,2,2,2
u002828,66,1,5,23,1,2,2,1
u002829,42,2,5,31,6,2,0,2
u002830,42,2,5,23,1,2,2,2
u002831,48,2,1,12,1,3,2,1
u002832,49,2,5,5,4,2,1,2
u002833,66,2,5,11,1,2,0,1
u002834,66,1,3,18,0,2,2,1
u002835,66,1,3,1,2,2,2,1
u002836,56,1,5,31,2,2,0,1
u002837,16,1,5,22,2,2,1,2
u002838,66,1,5,30,2,2,2,1
u002839,66,2,5,4,1,2,0,1
u002840,42,1,3,12,1,2,0,2
u002841,49,1,5,19,1,2,2,1
u002842,22,2,1,12,4,3,2,2
u002843,60,1,5,9,1,2,0,2
u002844,66,2,5,26,4,2,0,2
u002845,66,1,5,22,2,1,0,2
u002846,66,1,5,9,3,2,2,2
u002847,66,1,5,16,3,1,2,1
u002848,66,2,5,21,1,2,4,1
u002849,42,1,5,22,1,2,0,1
u002850,21,1,3,5,1,2,1,2
u002851,66,2,5,5,1,2,1,2
u002852,66,2,5,22,2,2,0,1
u002853,52,2,2,31,1,3,2,2
u002854,66,2,5,31,5,2,2,2
u002855,44,1,3,17,4,2,4,2
u002856,66,1,5,20,4,2,2,1
u002857,42,1,3,31,1,2,0,2
